company_name,country,input_full_address,input_industry,firm_id
Procesos Y Servicios S A S,Colombia,"Carrera 50 # 130 - 49
Bogota D.C., Bogota D.C, Colombia
1019",,94
Prooriente S.A.S.,Ecuador,"Via Al Aguarico S-n, Nueva Loja, Sucumbios, ",,95
Przedsiebiorstwo Budowlane Gorski Sp. z o.o. S.K.A.,Poland,"Ul. Joachima Lelewela 37/E, Gdansk, Pomorskie, 80-442",,96
Pulso S.R.L.,Uruguay,"Piedra Alta 1759, Montevideo, Montevideo, 11800",,97
Quality Plus Contracting Company Limited,Jamaica,"29 Lyndhurst Road, Kingston, Kingston,",,98
Ramzai Prat,Ukraine,"Bud. 12 Vul. Kavkazka, Kyiv, Kiev, 03035",,99
Reangwa Standard Industry Company Limited,Thailand,"5/9-11-12 Moo 7 Khlong Namkhem Village Bang Na-Trad Road
Chachoengsao, Eastern Thailand, Thailand
24180",,100
Rip OOO (Nizhny Novgorod) (Рип ООО (Нижний Новгород)),Russia,"Pochainskaya, 17S, 326, Nizhny Novgorod, Nizhny Novgorod Oblast, 603001",,101
Sfinga - Pro D.O.O. Pancevo,Serbia,"Milorada Bate Mihailovica 26, 26000, Pancevo, South Banat, PAK 300901",,102
"Shaoxing Nonchi Knitting Co., Ltd. (绍兴侬驰针织有限公司)",China,"Floor 2, Building 4, Lianxing Village, Qianqing Street, Keqiao District, Shaoxing City, Zhejiang Province, Shaoxing, Zhejiang, 312030",,103
Sisecam Automotive Slovakia S.R.O.,Slovakia,"Tovarenska, 15, Malacky, Bratislavsky, 90114",,104
Sjg Czech S.R.O.,Czech Republic,"Na Novem poli 385/1, Karvina, Moravskoslezsky, 73301",,105
Sky Servicos de Banda Larga Ltda.,Brazil,"Avenida Doutor Chucri Zaidan 920, Edif. Torre 1 Andar 4 9 A 11 13 14 16 17, Vila Cordeiro
Sao Paulo, Sao Paulo, Brazil
04583110",,106
South Management S.A.,Argentina,"Salvador Debenedetti 2830, Olivos; Buenos Aires, , B1636EJD",,107
Summer Region Sdn. Bhd.,Malaysia,"E03-03, Block E,, Plaza Glomac Jalan Ss7/19, Petaling Jaya, Selangor, 47301",,108
Szamos Cipőipari és Kereskedelmi Kft.,Hungary,"4765 Csenger, Ady Endre u. 82",,109
Tai He Dian Limited,"Taiwan, China","23, Chung Yang W. Rd., Sec. 2,, Taoyuan City, Taoyuan City, 320006",,110
"Tatra Textil, S.R.O.",Slovakia,"Popradska, 224, Hozelec, , 05911",,111
The Coffee Factory Company Limited,Thailand,"47 Moo 10
Chiang Rai, Northern Thailand, Thailand
57210",,112
"Thuan Hoa Investment and Trading Co., Ltd.",Vietnam,"295 Nguyễn Trãi, Thanh Xuân Trung,
Thanh Xuân District, Hà Nội, Vietnam",,113
Tpk Specservis OOO (Тпк Спецсервис ООО),Russia,"4/1, 34, Leningrad Oblast, Leningrad Oblast, 188517",,114
UAB Publica,Lithuania,"Tilzes g. 60, Klaipeda, Klaipeda County, LT-91108",,115
Unimed de Macae Cooperativa de Assistencia A Saude,Brazil,"Rua Euzebio de Queiroz 454, Centro, Macae, Rio de Janeiro, 27910230",,116
Veles Development D.O.O.,Serbia,"Bore Stankovica 17, 11000, Belgrade, Belgrade, PAK 122508",,117
Vidi Elit Tov,Ukraine,"58 Vul. Velyka Kiltseva, Sofiivska Borshchahivka, Kyyivska obl., 08131",,118
Vikvol Invest TOV,Ukraine,"Bud. 4A Kv. 44, Vul. Korolenka, Zhytomyr, Zhytomyr Oblast, 10003",,119
Vogel Solucoes em Telecomunicacoes e Informatica S.A.,Brazil,"Avenida Prof Vicente Rao 1262, Jardim Petropolis, Sao Paulo, Sao Paulo, 04636001",,120
Wschodni Front Sp. z o.o.,Poland,"Ul. Handlowa 5, Bialystok, Podlaskie, 15-399",,121
X SYSTEM Zrt.,Hungary,"Vagohid utca 12-18. A. lhaz. 9. em. 912. ajto, Budapest, Budapest, 1097",,122
"Youli (China) Investment Co., Ltd",China,"Building 38, No. 388, Nanjing West Road
Shanghai, Shanghai, China
200000",,123
"Yue Wing Cheong Manufactory Co., Ltd.",Cambodia,"Road 41, Kilometer 23, Makak Village, Snam Krapeu Ward,, Kong Pisei District; Kampong Speu, ,",,124
